eid	name	entity
0	Toy_Story_(1995)	http://dbpedia.org/resource/Toy_Story
1	GoldenEye_(1995)	http://dbpedia.org/resource/GoldenEye
2	Four_Rooms_(1995)	http://dbpedia.org/resource/Four_Rooms
3	Get_Shorty_(1995)	http://dbpedia.org/resource/Get_Shorty_(film)
4	Copycat_(1995)	http://dbpedia.org/resource/Copycat_(film)
5	Shanghai_Triad_(Yao_a_yao_yao_dao_waipo_qiao)_(1995)	http://dbpedia.org/resource/Shanghai_Triad
6	Twelve_Monkeys_(1995)	http://dbpedia.org/resource/12_Monkeys
7	Babe_(1995)	http://dbpedia.org/resource/Babe_(film)
8	Dead_Man_Walking_(1995)	http://dbpedia.org/resource/Dead_Man_Walking_(film)
9	Richard_III_(1995)	http://dbpedia.org/resource/Richard_III_(1995_film)
10	Seven_(Se7en)_(1995)	http://dbpedia.org/resource/Seven_(1995_film)
11	Usual_Suspects,_The_(1995)	http://dbpedia.org/resource/The_Usual_Suspects
12	Mighty_Aphrodite_(1995)	http://dbpedia.org/resource/Mighty_Aphrodite
13	Postino,_Il_(1994)	http://dbpedia.org/resource/Il_Postino:_The_Postman
14	Mr._Holland's_Opus_(1995)	http://dbpedia.org/resource/Mr._Holland's_Opus
15	French_Twist_(Gazon_maudit)_(1995)	http://dbpedia.org/resource/French_Twist_(film)
16	From_Dusk_Till_Dawn_(1996)	http://dbpedia.org/resource/From_Dusk_till_Dawn
17	White_Balloon,_The_(1995)	http://dbpedia.org/resource/The_White_Balloon
18	Antonia's_Line_(1995)	http://dbpedia.org/resource/Antonia's_Line
19	Angels_and_Insects_(1995)	http://dbpedia.org/resource/Angels_&_Insects
20	Muppet_Treasure_Island_(1996)	http://dbpedia.org/resource/Muppet_Treasure_Island
21	Braveheart_(1995)	http://dbpedia.org/resource/Braveheart
22	Taxi_Driver_(1976)	http://dbpedia.org/resource/Taxi_Driver
23	Rumble_in_the_Bronx_(1995)	http://dbpedia.org/resource/Rumble_in_the_Bronx
24	Birdcage,_The_(1996)	http://dbpedia.org/resource/The_Birdcage
25	Brothers_McMullen,_The_(1995)	http://dbpedia.org/resource/The_Brothers_McMullen
26	Bad_Boys_(1995)	http://dbpedia.org/resource/Bad_Boys_(1995_film)
27	Apollo_13_(1995)	http://dbpedia.org/resource/Apollo_13_(film)
